Timegenerated,Source,Destination,Protocol,Port,Team,Action,DeviceVendor,EventID
04/17/2024 04:17:42,202.48.145.224,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
01/24/2025 20:45:52,202.190.145.113,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06/22/2024 15:14:23,202.66.217.253,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/21/2024 15:43:02,202.144.83.69,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03-07-2024 00:09,202.206.203.189,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/31/2024 23:47:28,202.223.132.248,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
08/20/2024 18:48:37,202.153.44.207,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06/13/2024 22:38:51,202.159.210.49,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09-07-2024 00:13,202.213.25.109,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09-06-2024 04:48,202.83.82.67,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
12-06-2024 15:10,202.29.4.58,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/13/2024 06:45:31,202.68.236.157,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
08/20/2024 21:13:34,202.3.151.161,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07-01-2024 04:58,202.5.253.219,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03/16/2024 07:59:12,202.37.212.16,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/21/2024 14:11:34,202.251.61.100,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/13/2024 03:54:32,202.38.153.52,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05-10-2024 09:55,202.132.217.95,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/18/2024 15:58:54,202.41.138.176,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07-11-2024 05:18,202.32.75.188,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/24/2024 23:52:59,202.12.207.58,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
12-06-2024 04:51,202.8.136.107,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03/18/2024 05:13:46,202.130.138.115,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11-04-2024 12:41,202.79.45.183,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/29/2024 11:58:49,202.122.139.84,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06/15/2024 01:59:48,202.137.106.41,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
12-02-2024 00:52,202.136.32.179,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06-04-2024 14:45,202.167.151.167,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/24/2024 16:24:43,202.171.34.1,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11-08-2024 11:31,202.41.35.49,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/14/2024 11:13:18,202.133.75.57,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/20/2024 17:29:37,202.31.0.238,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
04/20/2024 23:36:59,202.69.107.33,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
04/25/2024 19:28:14,202.164.193.93,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06/16/2024 23:14:40,202.213.101.61,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
01-05-2025 02:17,202.46.70.229,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/21/2024 06:12:36,202.17.147.22,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11-01-2024 03:41,202.115.54.215,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09-11-2024 05:04,202.234.1.37,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/14/2024 22:18:39,202.168.135.177,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11-10-2024 08:24,202.21.1.47,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/16/2024 03:37:45,202.147.14.81,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/22/2024 16:34:45,202.157.80.160,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07-11-2024 01:05,202.205.100.125,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
08/16/2024 12:55:49,202.238.37.186,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
08/13/2024 14:46:09,202.240.199.96,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02/22/2024 08:29:50,202.98.172.197,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/21/2024 21:01:01,202.44.231.6,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-12-2024 05:34,202.70.213.163,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-01-2024 01:18,202.246.184.73,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/27/2024 09:45:48,202.151.236.228,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11-03-2024 00:37,202.41.101.49,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09-12-2024 14:24,202.19.225.237,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/25/2024 08:59:17,202.42.107.97,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06-12-2024 08:29,202.41.143.202,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02-11-2024 15:24,202.92.241.85,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/17/2024 05:07:42,202.183.23.207,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11-12-2024 12:17,202.240.223.235,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
01-12-2025 02:10,202.231.56.107,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-08-2024 12:52,202.85.100.112,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/23/2024 15:13:54,202.50.229.240,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03/21/2024 06:52:51,202.59.135.104,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
12/13/2024 14:50:28,202.134.35.26,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07-06-2024 09:30,202.236.246.57,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09/24/2024 02:33:21,202.177.130.232,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09/24/2024 04:35:48,202.178.91.99,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-10-2024 15:36,202.212.107.32,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/19/2024 08:26:42,202.179.137.241,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09-12-2024 20:06,202.164.186.104,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-08-2024 18:24,202.83.228.71,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06/18/2024 11:57:06,202.215.149.200,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03/25/2024 05:26:42,202.129.255.110,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
04/22/2024 16:11:36,202.146.168.208,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02/29/2024 09:17:20,202.251.154.28,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
08-03-2024 17:35,202.127.1.87,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09/25/2024 16:35:41,202.149.11.61,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/29/2024 12:16:23,202.86.67.183,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06/23/2024 11:11:59,202.119.3.36,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-09-2024 22:13,202.164.64.38,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05-02-2024 22:08,202.59.170.100,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06-02-2024 12:29,202.43.131.30,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-03-2024 13:43,202.43.254.138,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09/17/2024 12:51:29,202.63.124.229,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
08/30/2024 22:18:05,202.226.166.26,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06-11-2024 22:23,202.192.208.155,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
01-03-2025 07:04,202.218.138.144,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/14/2024 09:57:10,202.155.222.36,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09-12-2024 15:35,202.121.175.40,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02/16/2024 16:39:07,202.225.205.147,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
08/26/2024 17:34:01,202.217.36.170,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-05-2024 09:49,202.141.150.72,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11-04-2024 11:37,202.10.62.126,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
04-09-2024 13:39,202.13.19.48,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
12-09-2024 09:47,202.47.216.141,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/26/2024 03:00:50,202.182.21.56,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07-11-2024 18:32,202.222.159.86,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07-12-2024 01:16,202.96.206.88,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/18/2024 21:27:23,202.122.145.29,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11-05-2024 20:44,202.39.163.109,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-03-2024 09:12,202.198.170.188,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06/17/2024 19:01:32,202.81.152.177,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03/20/2024 08:33:44,202.161.175.198,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11-01-2024 03:27,202.6.99.77,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
04/23/2024 03:32:43,202.11.41.53,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03/19/2024 10:35:07,202.212.1.228,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07-01-2024 00:07,202.51.92.210,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
12/22/2024 04:53:41,202.142.59.160,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/27/2024 18:26:38,202.152.77.205,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/16/2024 23:34:19,202.60.169.157,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/20/2024 10:31:08,202.220.157.31,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/25/2024 10:11:19,202.166.218.63,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/30/2024 05:30:10,202.37.184.222,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
01-12-2025 16:00,202.74.52.114,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
04-04-2024 23:09,202.254.243.36,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/20/2024 18:58:38,202.133.43.158,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/18/2024 11:42:22,202.75.141.14,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11-01-2024 13:59,202.245.210.160,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/26/2024 06:42:43,202.44.123.8,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03/14/2024 00:10:05,202.235.49.173,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/29/2024 12:11:58,202.240.238.218,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03-06-2024 14:04,202.167.83.149,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/29/2024 14:26:40,202.51.106.50,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
12-03-2024 00:40,202.215.116.23,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02-11-2024 00:57,202.82.208.206,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/27/2024 21:52:48,202.147.171.209,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/26/2024 04:24:54,202.217.27.213,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06-12-2024 13:17,202.64.18.244,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06-11-2024 11:30,202.188.65.187,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03/16/2024 09:24:06,202.48.196.93,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02-12-2024 12:37,202.132.225.149,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
12/20/2024 06:54:17,202.243.158.66,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09-08-2024 11:37,202.204.47.23,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
01-10-2025 11:55,202.33.44.77,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09-08-2024 22:34,202.205.217.30,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03-05-2024 07:35,202.137.217.211,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/20/2024 23:20:29,202.107.212.12,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/16/2024 11:42:44,202.33.214.223,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
08-02-2024 06:05,202.59.14.176,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/24/2024 02:04:28,202.45.195.239,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02/14/2024 11:11:43,202.3.115.178,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/23/2024 20:39:05,202.211.62.217,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/26/2024 01:56:07,202.229.191.240,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02-04-2024 08:42,202.152.86.104,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/13/2024 00:12:07,202.145.38.206,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
01/21/2025 15:14:15,202.58.247.232,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06-11-2024 17:35,202.74.29.158,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
04/14/2024 13:42:41,202.184.213.141,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05-02-2024 04:45,202.95.189.170,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/15/2024 07:37:28,202.122.157.168,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
04/24/2024 18:18:01,202.135.20.55,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09/18/2024 08:26:13,202.221.166.66,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02/14/2024 19:23:52,202.42.119.22,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/17/2024 09:52:58,202.69.181.17,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/29/2024 03:14:44,202.138.70.232,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06/17/2024 03:09:52,202.8.25.251,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06/14/2024 08:03:48,202.41.157.159,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/13/2024 18:40:41,202.172.52.1,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/22/2024 23:25:48,202.126.113.173,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11-08-2024 12:38,202.173.200.15,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11-12-2024 05:26,202.89.19.160,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
04/14/2024 00:17:12,202.124.77.20,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05-04-2024 05:35,202.242.216.205,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
12-11-2024 02:58,202.195.238.99,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06-08-2024 02:22,202.190.36.28,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
01/14/2025 17:57:05,202.128.85.37,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06/20/2024 09:17:21,202.157.51.79,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09/28/2024 01:42:51,202.93.9.231,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/30/2024 06:41:44,202.189.211.236,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/25/2024 07:10:32,202.182.31.63,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/23/2024 04:15:49,202.163.139.137,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
01-03-2025 10:13,202.214.54.184,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/20/2024 17:34:44,202.114.110.154,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
12-06-2024 14:54,202.133.36.77,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
12/21/2024 04:12:24,202.206.232.24,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05-09-2024 09:15,202.140.17.238,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/24/2024 12:32:00,202.108.65.219,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/16/2024 19:56:01,202.46.231.202,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05-07-2024 00:37,202.52.81.109,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09/19/2024 23:52:46,202.83.65.11,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03/29/2024 07:29:35,202.201.93.154,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
04-10-2024 13:03,202.52.114.63,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03-02-2024 15:07,202.139.21.105,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
01-10-2025 21:37,202.127.186.141,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09/29/2024 17:33:04,202.197.8.186,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
01/23/2025 23:07:37,202.112.63.205,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/16/2024 16:28:54,202.80.222.236,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/20/2024 05:28:29,202.34.155.78,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03-09-2024 23:05,202.96.236.236,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03-04-2024 19:54,202.255.100.24,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07-04-2024 00:42,202.221.253.109,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
04-08-2024 21:56,202.123.123.16,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
08-11-2024 02:00,202.161.79.79,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02-08-2024 08:54,202.84.58.70,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/27/2024 17:36:07,202.191.0.72,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03-09-2024 23:32,202.190.232.103,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09/29/2024 20:17:56,202.152.146.37,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-07-2024 01:04,202.237.134.47,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/27/2024 16:37:45,202.45.221.122,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-01-2024 18:26,202.48.57.128,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
